"Nome","Email","CPF","Matricula"
"Izabel do Rocio Costa Ferreira","izabelferreira@gmail.com","09973396901","10101010"
"Dione Maria Menz","dionemenz@gmail.com","09973396902","11111111"
"Terezinha Maria Mafioletti","terezinhamafioletti@gmail.com","09973396903","12121212"
"Marly de Castro Campos Coati","marlycoati@gmail.com","09973396904","13131313"
"Silvia Cristina Sprengel de Alencar","silviaalencar@gmail.com","09973396905","14141414"
"Savio Marcelo Leite Moreira da Silva","saviosilva@gmail.com","09973396906","15151515"
"Luci Regina Panka Archegas","legaluciarchegas@gmail.com","09973396907","16161616"
"Maria Estela dos Santos Lima","marialima@gmail.com","09973396908","17171717"
"Prof. Substituto Português/Inglês","prof_substituto_português_inglês@gmail.com","09973396909","18181818"
"Jorge José de Oliveira","jorgeoliveira@gmail.com","09973396930","19191919"
